method,clients,duration_s,connected,failed,samples,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,ram_avg_mb,ram_max_mb,cpu_user_ms_per_sample
poll,10,20,10,0,170,1293.3,938,1937,1976,1980,60.2,60.5,14.00
poll,50,20,50,0,829,1432.2,1114,2004,2027,2031,62.7,64.8,34.58
poll,100,20,100,0,1722,1295.4,1045,2011,2159,2199,65.8,66.4,59.21
poll,500,20,500,0,8496,1265.5,1086,2020,2183,2284,84.1,88.4,190.79
poll,1000,20,1000,0,19338,1724.4,1297,4939,6625,7000,116.0,124.5,453.11
sse,10,20,10,0,190,13.3,12,29,29,29,123.5,123.5,2.47
sse,50,20,50,0,950,9.5,8,25,26,29,123.8,123.8,4.11
sse,100,20,100,0,1900,10.2,9,22,30,33,123.8,123.8,5.74
sse,500,20,500,0,9500,23.3,20,48,104,114,123.6,123.9,17.26
sse,1000,20,1000,0,19000,46.1,42,99,130,156,124.3,124.3,27.95
ws,10,20,10,0,190,6.2,5,9,13,14,123.3,123.3,1.63
ws,50,20,50,0,950,7.1,6,12,16,17,123.8,123.8,4.11
ws,100,20,100,0,1900,8.2,8,13,15,15,123.8,123.8,7.42
ws,500,20,500,0,9500,30.3,27,66,76,81,125.2,125.5,20.58
ws,1000,20,1000,0,19000,37.7,33,87,160,189,124.7,124.8,15.63
fcm,10,20,10,0,190,98.0,90,155,156,156,124.7,124.7,1.63
fcm,50,20,50,0,950,126.0,127,157,160,160,124.7,124.7,10.68
fcm,100,20,100,0,1900,125.5,128,176,180,181,124.7,124.7,4.95
fcm,500,20,500,0,9500,147.1,148,197,228,238,124.4,125.3,24.68
fcm,1000,20,1000,0,18000,168.2,162,255,284,319,130.1,131.0,37.33
